	loss	val_loss	batch_size	dataset	epochs	learning_rate	noise	num_components	seed	sparsity
0	0.16504648920127754	0.16505329458205872	100	GTEX	100	1e-05	0.0	5	208	0.0
1	0.1647849988254887	0.16456113347762438	100	GTEX	100	1e-05	0.0	5	208	0.0
2	0.16396460373254063	0.16340737067474612	100	GTEX	100	1e-05	0.0	5	208	0.0
3	0.16245231930659543	0.1615421914782361	100	GTEX	100	1e-05	0.0	5	208	0.0
4	0.16026185373135726	0.15909915777213673	100	GTEX	100	1e-05	0.0	5	208	0.0
5	0.15762303587947613	0.15634274420402802	100	GTEX	100	1e-05	0.0	5	208	0.0
6	0.15476654535917944	0.15345113613986244	100	GTEX	100	1e-05	0.0	5	208	0.0
7	0.15184558865209813	0.15055834895757667	100	GTEX	100	1e-05	0.0	5	208	0.0
8	0.14895977547506956	0.14773224934425644	100	GTEX	100	1e-05	0.0	5	208	0.0
9	0.1461706105102213	0.145022842084047	100	GTEX	100	1e-05	0.0	5	208	0.0
10	0.1435163985011922	0.1424607831715631	100	GTEX	100	1e-05	0.0	5	208	0.0
11	0.1410154389553744	0.1400472832269995	100	GTEX	100	1e-05	0.0	5	208	0.0
12	0.13867013347498955	0.13779379886366117	100	GTEX	100	1e-05	0.0	5	208	0.0
13	0.13648136150242599	0.13569060035984779	100	GTEX	100	1e-05	0.0	5	208	0.0
14	0.13444099056880654	0.13372964936064224	100	GTEX	100	1e-05	0.0	5	208	0.0
15	0.13254200031793367	0.13190067987251644	100	GTEX	100	1e-05	0.0	5	208	0.0
16	0.13077266505172036	0.13019589496202796	100	GTEX	100	1e-05	0.0	5	208	0.0
17	0.12912325826897042	0.12860440493989805	100	GTEX	100	1e-05	0.0	5	208	0.0
18	0.12758369519684853	0.1271162639609308	100	GTEX	100	1e-05	0.0	5	208	0.0
19	0.12614545926374557	0.12572275946348793	100	GTEX	100	1e-05	0.0	5	208	0.0
20	0.12479851299427978	0.12441667764245784	100	GTEX	100	1e-05	0.0	5	208	0.0
21	0.12353531312851841	0.12318660117714124	100	GTEX	100	1e-05	0.0	5	208	0.0
22	0.12234751211371683	0.12203032891673281	100	GTEX	100	1e-05	0.0	5	208	0.0
23	0.1212291240163271	0.12093779422031156	100	GTEX	100	1e-05	0.0	5	208	0.0
24	0.12017301243619807	0.11990345221281958	100	GTEX	100	1e-05	0.0	5	208	0.0
25	0.11917440539726275	0.11892325085492189	100	GTEX	100	1e-05	0.0	5	208	0.0
26	0.11822791078598255	0.11799283220854095	100	GTEX	100	1e-05	0.0	5	208	0.0
27	0.11732910911265253	0.11710638980675106	100	GTEX	100	1e-05	0.0	5	208	0.0
28	0.11647497268624425	0.11626596728998445	100	GTEX	100	1e-05	0.0	5	208	0.0
29	0.11566069778131685	0.11546083420741694	100	GTEX	100	1e-05	0.0	5	208	0.0
30	0.11488358962352643	0.11469230523240884	100	GTEX	100	1e-05	0.0	5	208	0.0
31	0.11414020456506696	0.1139569594719564	100	GTEX	100	1e-05	0.0	5	208	0.0
32	0.1134284197523902	0.11324876374051598	100	GTEX	100	1e-05	0.0	5	208	0.0
33	0.112745308183945	0.11257056030710387	100	GTEX	100	1e-05	0.0	5	208	0.0
34	0.11208944945655479	0.11191665783467855	100	GTEX	100	1e-05	0.0	5	208	0.0
35	0.1114580927642356	0.11128778693340577	100	GTEX	100	1e-05	0.0	5	208	0.0
36	0.11084985150805594	0.11067939544018683	100	GTEX	100	1e-05	0.0	5	208	0.0
37	0.11026287155196951	0.11009298562436956	100	GTEX	100	1e-05	0.0	5	208	0.0
38	0.10969517953411331	0.10952786104080794	100	GTEX	100	1e-05	0.0	5	208	0.0
39	0.10914663904598072	0.10897844366927564	100	GTEX	100	1e-05	0.0	5	208	0.0
40	0.1086162071872994	0.10844702265108493	100	GTEX	100	1e-05	0.0	5	208	0.0
41	0.10810046168690537	0.10792766415120984	100	GTEX	100	1e-05	0.0	5	208	0.0
42	0.10759989103435953	0.10742621330593928	100	GTEX	100	1e-05	0.0	5	208	0.0
43	0.10711358012018656	0.10693690761527182	100	GTEX	100	1e-05	0.0	5	208	0.0
44	0.10664010434017472	0.10646106931646514	100	GTEX	100	1e-05	0.0	5	208	0.0
45	0.10617894234177655	0.10599542802957528	100	GTEX	100	1e-05	0.0	5	208	0.0
46	0.10572928142932296	0.10554197781892784	100	GTEX	100	1e-05	0.0	5	208	0.0
47	0.10528963280965072	0.10509998966079248	100	GTEX	100	1e-05	0.0	5	208	0.0
48	0.10485896671052541	0.10466871013999439	100	GTEX	100	1e-05	0.0	5	208	0.0
49	0.10443800044649063	0.10424348114221269	100	GTEX	100	1e-05	0.0	5	208	0.0
50	0.10402510461562839	0.10382592680902988	100	GTEX	100	1e-05	0.0	5	208	0.0
51	0.10362001323921571	0.10341727790270468	100	GTEX	100	1e-05	0.0	5	208	0.0
52	0.10322132826817883	0.10301615490432928	100	GTEX	100	1e-05	0.0	5	208	0.0
53	0.10282878957045825	0.10261925590355586	100	GTEX	100	1e-05	0.0	5	208	0.0
54	0.102441440500792	0.10222932274237331	100	GTEX	100	1e-05	0.0	5	208	0.0
55	0.10205859204928752	0.10184247400824108	100	GTEX	100	1e-05	0.0	5	208	0.0
56	0.10167987529061293	0.10146061155392642	100	GTEX	100	1e-05	0.0	5	208	0.0
57	0.10130490156133966	0.10108230753089992	100	GTEX	100	1e-05	0.0	5	208	0.0
58	0.10093158768007719	0.10070742811200284	100	GTEX	100	1e-05	0.0	5	208	0.0
59	0.10056059053272963	0.10033307114028206	100	GTEX	100	1e-05	0.0	5	208	0.0
60	0.10019142109535936	0.09996118722306459	100	GTEX	100	1e-05	0.0	5	208	0.0
61	0.09982289233551593	0.09959036703912025	100	GTEX	100	1e-05	0.0	5	208	0.0
62	0.09945419010157014	0.09921824133214842	100	GTEX	100	1e-05	0.0	5	208	0.0
63	0.09908437834183165	0.09884719448624454	100	GTEX	100	1e-05	0.0	5	208	0.0
64	0.09871468075848286	0.09847378676948439	100	GTEX	100	1e-05	0.0	5	208	0.0
65	0.09834141822932602	0.098102570118333	100	GTEX	100	1e-05	0.0	5	208	0.0
66	0.09796613686119628	0.09772650951328386	100	GTEX	100	1e-05	0.0	5	208	0.0
67	0.0975867916054782	0.09734784987376217	100	GTEX	100	1e-05	0.0	5	208	0.0
68	0.09720442269764368	0.09696646728783052	100	GTEX	100	1e-05	0.0	5	208	0.0
69	0.09681858164532278	0.09658248515750066	100	GTEX	100	1e-05	0.0	5	208	0.0
70	0.0964305450280201	0.09619715002439774	100	GTEX	100	1e-05	0.0	5	208	0.0
71	0.09603963716535441	0.09580814631606237	100	GTEX	100	1e-05	0.0	5	208	0.0
72	0.09564541707613582	0.09541570080777084	100	GTEX	100	1e-05	0.0	5	208	0.0
73	0.09524793829641008	0.09501847542624056	100	GTEX	100	1e-05	0.0	5	208	0.0
74	0.09484600440002966	0.09461707049562904	100	GTEX	100	1e-05	0.0	5	208	0.0
75	0.09444051735741392	0.09421430596153998	100	GTEX	100	1e-05	0.0	5	208	0.0
76	0.09403034679106073	0.09380544138498632	100	GTEX	100	1e-05	0.0	5	208	0.0
77	0.09361508069102485	0.09339317186477067	100	GTEX	100	1e-05	0.0	5	208	0.0
78	0.0931949692219417	0.0929750213151649	100	GTEX	100	1e-05	0.0	5	208	0.0
79	0.09276850659133036	0.0925525247257472	100	GTEX	100	1e-05	0.0	5	208	0.0
80	0.09233706749781291	0.09212287198114757	100	GTEX	100	1e-05	0.0	5	208	0.0
81	0.09190073574802572	0.09168914532706765	100	GTEX	100	1e-05	0.0	5	208	0.0
82	0.09145946746247993	0.09125120000127604	100	GTEX	100	1e-05	0.0	5	208	0.0
83	0.09101388609115307	0.0908061971625901	100	GTEX	100	1e-05	0.0	5	208	0.0
84	0.09056360071978097	0.0903560908744997	100	GTEX	100	1e-05	0.0	5	208	0.0
85	0.09010869741370563	0.08990172412912202	100	GTEX	100	1e-05	0.0	5	208	0.0
86	0.08964965332095243	0.08944259181675349	100	GTEX	100	1e-05	0.0	5	208	0.0
87	0.08918524905842487	0.08897745294829285	100	GTEX	100	1e-05	0.0	5	208	0.0
88	0.08871692288724022	0.08850827031262475	100	GTEX	100	1e-05	0.0	5	208	0.0
89	0.08824417747110931	0.08803469112617435	100	GTEX	100	1e-05	0.0	5	208	0.0
90	0.08776736913068475	0.08755682689268779	100	GTEX	100	1e-05	0.0	5	208	0.0
91	0.08728710931332395	0.08707458486235187	100	GTEX	100	1e-05	0.0	5	208	0.0
92	0.0868036993083234	0.08658972113418036	100	GTEX	100	1e-05	0.0	5	208	0.0
93	0.08631782353418586	0.0861013445280804	100	GTEX	100	1e-05	0.0	5	208	0.0
