	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3401.635820097763	3370.219514319645	125	0.001	150	100	0.0	7572	1	100
1	2685.0830633225405	3088.7539001158134	125	0.001	150	100	0.0	7572	1	100
2	2643.3334270127716	2787.962966688913	125	0.001	150	100	0.0	7572	1	100
3	2613.8479137708064	2659.7215435085586	125	0.001	150	100	0.0	7572	1	100
4	2595.4780506160005	2701.422533811636	125	0.001	150	100	0.0	7572	1	100
5	2584.3072560316004	2653.0641991696766	125	0.001	150	100	0.0	7572	1	100
6	2574.0036818117605	2612.188807808574	125	0.001	150	100	0.0	7572	1	100
7	2565.7089715943375	2593.915254985867	125	0.001	150	100	0.0	7572	1	100
8	2557.564765501826	2560.433679628612	125	0.001	150	100	0.0	7572	1	100
9	2551.3672684623616	2553.2623321686556	125	0.001	150	100	0.0	7572	1	100
10	2545.8872368164607	2546.8581322138034	125	0.001	150	100	0.0	7572	1	100
11	2542.509990635508	2540.8577739773086	125	0.001	150	100	0.0	7572	1	100
12	2537.0145663306016	2544.804487525518	125	0.001	150	100	0.0	7572	1	100
13	2534.813463727336	2542.2347590000786	125	0.001	150	100	0.0	7572	1	100
14	2531.065762120973	2531.1285063010364	125	0.001	150	100	0.0	7572	1	100
15	2528.133157741386	2533.828266086291	125	0.001	150	100	0.0	7572	1	100
16	2526.233300879353	2530.7296725325846	125	0.001	150	100	0.0	7572	1	100
17	2524.307311296383	2531.877296639447	125	0.001	150	100	0.0	7572	1	100
18	2521.429396515114	2520.707849550487	125	0.001	150	100	0.0	7572	1	100
19	2518.592633967501	2518.539137337076	125	0.001	150	100	0.0	7572	1	100
20	2517.4669017091314	2517.895783850895	125	0.001	150	100	0.0	7572	1	100
21	2516.355661331962	2523.576955824042	125	0.001	150	100	0.0	7572	1	100
22	2514.2933298786484	2513.9043692584014	125	0.001	150	100	0.0	7572	1	100
23	2512.5095114288006	2513.452295657977	125	0.001	150	100	0.0	7572	1	100
24	2510.920899500284	2510.71264893805	125	0.001	150	100	0.0	7572	1	100
25	2509.514456782068	2516.54443359375	125	0.001	150	100	0.0	7572	1	100
26	2508.1244378416172	2508.5353071509894	125	0.001	150	100	0.0	7572	1	100
27	2506.577206836134	2506.5341109846104	125	0.001	150	100	0.0	7572	1	100
28	2505.2527799711706	2503.9125338607096	125	0.001	150	100	0.0	7572	1	100
29	2504.0147228051487	2502.5261009638034	125	0.001	150	100	0.0	7572	1	100
30	2503.2602526527094	2504.834412541222	125	0.001	150	100	0.0	7572	1	100
31	2501.153089061541	2509.1089161628456	125	0.001	150	100	0.0	7572	1	100
32	2500.621864513862	2500.246854389133	125	0.001	150	100	0.0	7572	1	100
33	2498.8339425721515	2499.2228942564384	125	0.001	150	100	0.0	7572	1	100
34	2498.325249105735	2499.6859100188444	125	0.001	150	100	0.0	7572	1	100
35	2497.8151210167935	2496.7317188972206	125	0.001	150	100	0.0	7572	1	100
36	2496.7979888796795	2496.229305708229	125	0.001	150	100	0.0	7572	1	100
37	2495.14548394073	2496.713819340845	125	0.001	150	100	0.0	7572	1	100
38	2494.2002794359637	2497.7805556100816	125	0.001	150	100	0.0	7572	1	100
39	2493.48119915531	2494.5671055472676	125	0.001	150	100	0.0	7572	1	100
40	2492.7572527124435	2492.3908360160176	125	0.001	150	100	0.0	7572	1	100
41	2491.3279038046153	2495.6091173641644	125	0.001	150	100	0.0	7572	1	100
42	2491.4705548257166	2491.5667276813756	125	0.001	150	100	0.0	7572	1	100
43	2489.685882360571	2492.299707767352	125	0.001	150	100	0.0	7572	1	100
44	2489.1120982348407	2491.661042026539	125	0.001	150	100	0.0	7572	1	100
45	2488.614440447891	2489.1462966688914	125	0.001	150	100	0.0	7572	1	100
46	2488.0294467003328	2491.4341458267904	125	0.001	150	100	0.0	7572	1	100
47	2487.2781012971855	2487.873910568467	125	0.001	150	100	0.0	7572	1	100
48	2486.813167728288	2498.01076059006	125	0.001	150	100	0.0	7572	1	100
49	2485.6464329798423	2486.4249678568626	125	0.001	150	100	0.0	7572	1	100
50	2485.1034741219114	2486.7083010266174	125	0.001	150	100	0.0	7572	1	100
51	2484.2557708096433	2488.1949334072706	125	0.001	150	100	0.0	7572	1	100
52	2483.7068507401773	2486.579830303863	125	0.001	150	100	0.0	7572	1	100
53	2482.9945729329447	2484.624728868954	125	0.001	150	100	0.0	7572	1	100
54	2482.5218182255185	2484.5108501491836	125	0.001	150	100	0.0	7572	1	100
55	2481.8847432247776	2485.094829616834	125	0.001	150	100	0.0	7572	1	100
56	2481.19336836779	2485.3754392077576	125	0.001	150	100	0.0	7572	1	100
57	2480.6853024073644	2481.4960692132536	125	0.001	150	100	0.0	7572	1	100
58	2480.0404957327305	2482.56913964353	125	0.001	150	100	0.0	7572	1	100
59	2479.833849646654	2481.2254693879554	125	0.001	150	100	0.0	7572	1	100
60	2479.1734713292412	2480.089619238772	125	0.001	150	100	0.0	7572	1	100
61	2478.5978369233276	2480.6533509834326	125	0.001	150	100	0.0	7572	1	100
62	2477.812820306832	2481.4065395336056	125	0.001	150	100	0.0	7572	1	100
63	2477.1812536080165	2479.7746999155934	125	0.001	150	100	0.0	7572	1	100
64	2476.8249365109023	2478.5223787394	125	0.001	150	100	0.0	7572	1	100
65	2476.5317132104415	2481.115179167321	125	0.001	150	100	0.0	7572	1	100
66	2476.143584826972	2476.797111779601	125	0.001	150	100	0.0	7572	1	100
67	2475.594566463586	2477.21967626217	125	0.001	150	100	0.0	7572	1	100
68	2475.305430767725	2476.249138760207	125	0.001	150	100	0.0	7572	1	100
69	2474.6364177095397	2475.4194973892904	125	0.001	150	100	0.0	7572	1	100
70	2474.4135702946232	2475.848424250157	125	0.001	150	100	0.0	7572	1	100
71	2473.754087631851	2481.619193379004	125	0.001	150	100	0.0	7572	1	100
72	2473.467045975285	2474.42086653973	125	0.001	150	100	0.0	7572	1	100
73	2472.947973466582	2475.437547846655	125	0.001	150	100	0.0	7572	1	100
74	2472.5042070724535	2478.8002132243246	125	0.001	150	100	0.0	7572	1	100
75	2472.3812301232088	2473.736572265625	125	0.001	150	100	0.0	7572	1	100
76	2471.6681929429815	2473.419697363772	125	0.001	150	100	0.0	7572	1	100
77	2471.2745820096675	2471.9253236396826	125	0.001	150	100	0.0	7572	1	100
78	2471.1432862935926	2471.6041045069096	125	0.001	150	100	0.0	7572	1	100
79	2470.8647388450163	2472.5118929608984	125	0.001	150	100	0.0	7572	1	100
80	2470.279141517739	2471.207865499372	125	0.001	150	100	0.0	7572	1	100
81	2470.100169762076	2471.5362174642746	125	0.001	150	100	0.0	7572	1	100
82	2469.5507714941855	2472.5769889486496	125	0.001	150	100	0.0	7572	1	100
83	2469.0061970133906	2472.734583562343	125	0.001	150	100	0.0	7572	1	100
84	2468.8122234580796	2472.9882714353016	125	0.001	150	100	0.0	7572	1	100
85	2468.5512218694626	2469.452793753926	125	0.001	150	100	0.0	7572	1	100
86	2468.29147848118	2469.888787197707	125	0.001	150	100	0.0	7572	1	100
87	2467.66955109954	2469.0022389780934	125	0.001	150	100	0.0	7572	1	100
88	2467.365534815941	2470.294249568153	125	0.001	150	100	0.0	7572	1	100
89	2467.3047763923673	2467.8492216944096	125	0.001	150	100	0.0	7572	1	100
90	2467.1430039199845	2468.0221996211526	125	0.001	150	100	0.0	7572	1	100
91	2466.6102769223426	2468.6664425643844	125	0.001	150	100	0.0	7572	1	100
92	2466.1450389338756	2468.183252689227	125	0.001	150	100	0.0	7572	1	100
93	2465.9229256848907	2467.231165593593	125	0.001	150	100	0.0	7572	1	100
94	2466.0963109286054	2468.208593013898	125	0.001	150	100	0.0	7572	1	100
95	2465.5779954493214	2466.617746937814	125	0.001	150	100	0.0	7572	1	100
96	2465.149952349113	2468.3339512503926	125	0.001	150	100	0.0	7572	1	100
97	2464.8815348697885	2466.3089814305904	125	0.001	150	100	0.0	7572	1	100
98	2464.661338474884	2467.257229752277	125	0.001	150	100	0.0	7572	1	100
99	2464.6177035226447	2470.8670316916614	125	0.001	150	100	0.0	7572	1	100
